  run  | subrun |          time           | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+-------------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 16427 |      0 | 2018-05-07 03:06:38.625 |       14.5058 |       20.4008 |       11.5637 |            1.7449 |            3.9095 |            2.9628 |            2.9465
 16427 |      1 | 2018-05-07 03:07:03.5   |       14.5053 |       20.4002 |       10.3493 |            1.5752 |            3.4851 |            2.6559 |            2.6332
 16427 |      2 | 2018-05-07 03:07:13.5   |       14.5091 |       20.4022 |       11.1934 |             1.696 |            3.7743 |             2.867 |             2.856
 16427 |      3 | 2018-05-07 03:07:21     |       14.5036 |       20.4019 |       11.4767 |            1.7362 |            3.8725 |            2.9376 |            2.9304
 16427 |      4 | 2018-05-07 03:07:28.5   |       14.5089 |       20.3894 |       11.8473 |             1.788 |            3.9992 |            3.0318 |            3.0284
 16427 |      5 | 2018-05-07 03:07:38.5   |       14.4773 |        20.406 |       12.0677 |            1.8157 |            4.0814 |            3.0812 |            3.0894
 16427 |      6 | 2018-05-07 03:07:46     |       14.5087 |       20.3999 |       12.3487 |            1.8591 |            4.1746 |            3.1589 |            3.1561
 16427 |      7 | 2018-05-07 03:07:53.5   |       14.5076 |       20.4029 |       12.2974 |            1.8512 |            4.1577 |            3.1478 |            3.1408
 16427 |      8 | 2018-05-07 03:08:03.5   |       14.5076 |        20.401 |       12.4966 |            1.8796 |            4.2274 |            3.1973 |            3.1924
 16427 |      9 | 2018-05-07 03:08:11     |       14.5064 |       20.4017 |       12.4892 |            1.8793 |            4.2258 |            3.1952 |            3.1889
 16427 |     10 | 2018-05-07 03:08:18.5   |       14.5065 |       20.4029 |       12.5167 |            1.8822 |            4.2356 |            3.2036 |            3.1952
 16427 |     11 | 2018-05-07 03:08:28.5   |       14.5045 |       20.4021 |       12.4697 |            1.8754 |            4.2204 |            3.1913 |            3.1825
 16427 |     12 | 2018-05-07 03:08:36     |       14.4764 |       20.3869 |       12.6316 |            1.8879 |            4.2836 |            3.2211 |             3.239
 16427 |     13 | 2018-05-07 03:08:43.5   |       14.5036 |       20.4018 |       12.5747 |            1.8903 |            4.2565 |            3.2183 |            3.2095
 16427 |     14 | 2018-05-07 03:08:53.5   |       14.5106 |       20.4031 |       12.6766 |            1.9036 |            4.2911 |            3.2462 |            3.2358
 16427 |     15 | 2018-05-07 03:09:01     |       14.5107 |       20.4029 |       12.7882 |            1.9208 |            4.3291 |            3.2738 |            3.2645
 16427 |     16 | 2018-05-07 03:09:08.5   |        14.507 |       20.4022 |       12.7017 |            1.9086 |            4.3008 |            3.2503 |             3.242
 16427 |     17 | 2018-05-07 03:09:18.5   |        14.501 |       20.3966 |       12.6057 |            1.8902 |            4.2711 |            3.2214 |            3.2229
 16427 |     18 | 2018-05-07 03:09:26     |       14.5055 |       20.4014 |       12.5915 |            1.8929 |            4.2629 |             3.223 |            3.2127
 16427 |     19 | 2018-05-07 03:09:36     |       14.5109 |       20.4036 |       12.7855 |            1.9198 |             4.329 |            3.2735 |            3.2632
 16427 |     20 | 2018-05-07 03:09:43.5   |       14.5037 |       20.4019 |       12.5099 |            1.8811 |            4.2351 |            3.2027 |            3.1909
 16427 |     21 | 2018-05-07 03:09:53.5   |       14.5071 |       20.4019 |       12.6524 |            1.9008 |            4.2839 |            3.2389 |            3.2288
 16427 |     22 | 2018-05-07 03:10:01     |       14.5107 |       20.4053 |       12.6468 |            1.8977 |            4.2814 |             3.241 |            3.2267
 16427 |     23 | 2018-05-07 03:10:08.5   |       14.5061 |       20.4009 |       12.5825 |            1.8912 |            4.2603 |             3.221 |              3.21
 16427 |     24 | 2018-05-07 03:10:18.5   |       14.5095 |       20.4033 |       12.7469 |            1.9134 |            4.3162 |            3.2641 |            3.2533
